Author;Artwork;Artwork component;Current support;Decoration;Material ;Original support;Ornament;Signature;Inscription;Signature datation;Technique;ID
Antonello da Messina;Portrait sf a Young Man;;wood;;wood;;;;;;oil;
Antonello da Messina;Christ Crowned with Thorns;;wood;;wood;;;ANTONELLUS MESS. N... ME PIN.. T.;;;oil over tempera (?);
Antonello de Saliba;The Madonna Adoring the Child;;wood;;wood;;;;;;oil, tempera;
Giovanni Bellini;The Madonna and Child;;wood;;wood;;;"""IOANNES BELLINVS""";;;oil;
Giovanni Bellini;The Madonna Adoring the Sleeping Child ;;wood;;wood;;;"""IOANNES BELLINVS""";;;tempera;
Giovanni Bellini & workshop;The Madonna and Child with Saint;;wood;;wood;;;"""IOANNES BELLINVS""";"""ECCE AGNVS DEI""";;tempera, oil;
Workshop of Giovanni Bellini;The Madonna and Child;;wood;;wood;;;;;;tempera, oil;
Workshop of Giovanni Bellini;The Presentation in the Temple;;wood;;wood;;;IOANNES BELLINVS;;;oil;
Jacopo Bellini;The Madanna and Child;;wood;golden ground;wood;;;;... MARIA.;;tempera;
Bernardo Bellotto;Vaprio d'Adda;;canvas;;canvas;;;;;;oil;
Bonifazio Veronese;A Mirarle of Saint Ambrose;;canvas;;canvas;;;;;;oil;
Canaletto;Venice: the Piazzetta;;canvas;;canvas;;;;;;oil;
Canaletto;Venice: Santa Maria della Salute;;canvas;;canvas;;;;;;oil;
Vittore Carpaccio;The Meditatian on the Passion;;wood;;wood;;;vjctorjs carpattjj venettj opus;"""with a cry"", ""Israel"",  ""crown"", ""Israel"", ""that my Redeemer liveth"", ""19""";;tempera;
Francesco Casanova;Cavalier and Shepherd;;canvas;;canvas;;;;;;oil;
Vincenzo Catena;Portrait of a Venetian Senatar;;canvas;;canvas;;;;;;oil;
Vincenzo Catena;The Adoration of the Shepherds;;canvas;;canvas;;;;;;oil;
Giovanni Battista Cima;Three Saints: Roch, Anthony Abbot, and Lucy;;canvas;;canvas;wood;;;;;tempera, oil;
Giovanni Battista Cima;The Madonna and Child with Saint Francis and Saint Clare;;wood;;wood;;;;"""IOANNES BELLINVS FACIEBAT""";;tempera;
Carlo Crivelli;Saint Dominic;;wood;tooled golden ground;wood;;;;;;tempera;
Carlo Crivelli;Saint George;;wood;tooled golden ground;wood;;;;;;tempera;
Carlo Crivelli;The Pietà;;wood;tooled golden ground;wood;;;;;;tempera;
Carlo Crivelli;The Madonna and Child;;wood;;wood;;;OPVS.KAROLI.CRIVELLI.VENETI;;;tempera, gold;
Gasparo Diziani;Dawn (ceiling decoration) ;;canvas;;canvas;;;;;;oil;
Michele Giambono;The Man of Sorrows;;wood;embossed blood and crown of thorns, incised Wounds;wood;;;;;;tempera;
Jacopo Guarana;The Crowning with Thorns;;canvas;;canvas;;;GVARA.F.;;;oil;
Francesco Guardi;Venice: the Grand Canal above the Rialto;;canvas;;canvas;;;Fran co De' Guardi;Vuduta del Same di Rialto / in Venezia / del Guardi;;oil;
Francesco Guardi;Venice: Santa Maria de/la Salute;;canvas;;canvas;;;;dalla / Veduta Salute in Venezia / del F.co Guardi;;oil;
Francesco Guardi;Landscape;;canvas;;paper;;;;;;oil;
Francesco Guardi;Landscape;;canvas;;paper;;;;;;oil;
Francesco Guardi;Fantastic Landscape;;canvas;;canvas;;;;;;oil;
Francesco Guardi;Fantastic Landscape;;canvas;;canvas;;;;;;oil;
Francesco Guardi;Fantastic Landscape;;canvas;;canvas;;;;;;oil;
Francesco Guardi;Venice: Piazza San Marco;;canvas;;canvas;;;Fran/ Guardi;;;oil;
Francesco Guardi;Venice from the Sea;;canvas;;canvas;;;;;;oil;
